"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"35","Destiny 2","Oct 1, 2019","Free","N/A (N/A/83%)","20,000,000 .. 50,000,000","00:00 (00:00)","Bungie","Bungie"
"3","Red Dead Redemption 2","Dec 5, 2019","$59.99","N/A (N/A/93%)","10,000,000 .. 20,000,000","00:00 (00:00)","Rockstar Games","Rockstar Games"
"8","Sekiro: Shadows Die Twice - GOTY Edition","Mar 21, 2019","$59.99","N/A (N/A/88%)","10,000,000 .. 20,000,000","00:00 (00:00)","FromSoftware, Inc.","Activision (Excluding Japan and Asia), FromSoftware, Inc. (Japan), 方块游戏 (Asia)"
"65","Hunt: Showdown 1896","Aug 27, 2019","$29.99","N/A (N/A/81%)","10,000,000 .. 20,000,000","00:00 (00:00)","Crytek","Crytek"
"1480","Black Squad","Jun 26, 2019","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","VALOFE, NS STUDIO","VALOFE"
"5","Resident Evil 2","Jan 24, 2019","$9.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"6","Slay the Spire","Jan 23, 2019","$24.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","00:00 (00:00)","Mega Crit","Mega Crit"
"20","Total War: THREE KINGDOMS","May 23, 2019","$20.39","N/A (N/A/85%)","5,000,000 .. 10,000,000","00:00 (00:00)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"27","Football Manager 2020","Nov 19, 2019","N/A","N/A (N/A/84%)","5,000,000 .. 10,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"63","MORDHAU","Apr 29, 2019","$29.99","N/A (N/A/81%)","5,000,000 .. 10,000,000","00:00 (00:00)","Triternion","Triternion"
"152","NBA 2K20","Sep 6, 2019","N/A","N/A (N/A/74%)","5,000,000 .. 10,000,000","00:00 (00:00)","Visual Concepts","2K"
"1476","KurtzPel","Apr 30, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","KOG","KOG"
"1479","Minion Masters","May 24, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","BetaDwarf","BetaDwarf"
"1481","Dota Underlords","Jun 20, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Valve","Valve"
"1482","Splitgate: Arena Warfare","May 24, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","1047 Games","1047 Games"
"7726","Halo: The Master Chief Collection","Dec 3, 2019","$9.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive","Xbox Game Studios"
"7727","People Playground","Jul 23, 2019","$9.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","mestiez","Studio Minus"
"1","Disco Elysium - The Final Cut","Oct 15, 2019","$39.99","N/A (N/A/97%)","2,000,000 .. 5,000,000","00:00 (00:00)","ZA/UM","ZA/UM"
"2","Beat Saber","May 21, 2019","$29.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","00:00 (00:00)","Beat Games","Beat Games"
"4","Devil May Cry 5","Mar 7, 2019","$9.89","N/A (N/A/89%)","2,000,000 .. 5,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"21","Oxygen Not Included","Jul 30, 2019","$24.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","Klei Entertainment","Klei Entertainment"
"29","Age of Empires II: Definitive Edition","Nov 14, 2019","$19.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Forgotten Empires, Tantalus Media, Wicked Witch, World's Edge","Xbox Game Studios"
"34","Katana ZERO","Apr 18, 2019","$14.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Askiisoft","Devolver Digital"
"46","Children of Morta","Sep 3, 2019","$21.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:00 (00:00)","Dead Mage","11 bit studios"
"47","Mortal Kombat 11","Apr 23, 2019","$49.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:00 (00:00)","NetherRealm Studios, QLOC, Shiver","Warner Bros. Games, Warner Bros. Interactive Entertainment"
"64","STAR WARS Jedi: Fallen Order","Nov 14, 2019","$9.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Respawn Entertainment","Electronic Arts"
"107","ACE COMBAT 7: SKIES UNKNOWN","Jan 31, 2019","$59.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:00 (00:00)","Bandai Namco Studios Inc.","Bandai Namco Entertainment"
"108","Remnant: From the Ashes","Aug 19, 2019","$39.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:00 (00:00)","Gunfire Games","Arc Games"
"109","Green Hell","Sep 5, 2019","$24.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:00 (00:00)","Creepy Jar","Creepy Jar"
"121","They Are Billions","Jun 18, 2019","$29.99","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:00 (00:00)","Numantian Games","Numantian Games"
"201","Wolfenstein: Youngblood","Jul 25, 2019","$19.99","N/A (N/A/69%)","2,000,000 .. 5,000,000","00:00 (00:00)","Machine Games, Arkane Studios","Bethesda Softworks"
"1462","WARMODE","Sep 13, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Novalink","Novalink"
"1470","Stay Out","Nov 27, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","MOBITECH LLC","MOBITECH LLC"
"1474","Dead Frontier 2","Jul 15, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Creaky Corpse Ltd","Creaky Corpse Ltd"
"1477","Conqueror's Blade","May 30, 2019","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Booming Tech","Poros Interactive"
"1478","CRSED: F.O.A.D.","Dec 12, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Darkflow Software","Gaijin Network Ltd"
"7719","Pacify","Feb 22, 2019","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Shawn Hitchcock","Hitchcock Games"
