"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"23","Among Us","Nov 16, 2018","$3.49","N/A (N/A/85%)","20,000,000 .. 50,000,000","00:00 (00:00)","Innersloth","Innersloth"
"45","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","00:00 (00:00)","Endnight Games Ltd","Endnight Games Ltd"
"7983","Wallpaper Engine","Nov 2018","$3.99","N/A (N/A)","20,000,000 .. 50,000,000","00:00 (00:00)","Wallpaper Engine Team","Wallpaper Engine Team"
"7","Monster Hunter: World","Aug 8, 2018","$29.99","N/A (N/A/88%)","10,000,000 .. 20,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"44","Paladins","May 8, 2018","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","00:00 (00:00)","Evil Mojo Games","Hi-Rez Studios"
"209","Z1 Battle Royale","Feb 28, 2018","Free","N/A (N/A/70%)","10,000,000 .. 20,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"1599","Life is Strange 2","Sep 26, 2018","$31.96","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
"1603","Ring of Elysium","Sep 19, 2018","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Aurora Studio","TCH Scarlet Limited"
"3","Dead Cells","Aug 6, 2018","$24.99","N/A (N/A/89%)","5,000,000 .. 10,000,000","00:00 (00:00)","Motion Twin","Motion Twin"
"11","RimWorld","Oct 17, 2018","$34.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","00:00 (00:00)","Ludeon Studios","Ludeon Studios"
"12","Subnautica","Jan 23, 2018","$29.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","00:00 (00:00)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"49","HITMAN 2","Nov 13, 2018","N/A","N/A (N/A/82%)","5,000,000 .. 10,000,000","00:00 (00:00)","IO Interactive A/S","IO Interactive A/S"
"1601","Realm Royale","Jun 5, 2018","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Heroic Leap Games","Hi-Rez Studios"
"7976","SCUM","Aug 29, 2018","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Gamepires","Jagex Ltd"
"7977","Conan Exiles","May 8, 2018","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Funcom","Funcom"
"7981","DayZ","Dec 13, 2018","$49.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
"6","Celeste","Jan 25, 2018","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:00 (00:00)","Maddy Makes Games Inc., Extremely OK Games, Ltd.","Maddy Makes Games Inc."
"22","DRAGON BALL FighterZ","Jan 26, 2018","$59.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","Arc System Works","Bandai Namco Entertainment"
"30","DARK SOULS: REMASTERED","May 23, 2018","$39.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","QLOC, FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment"
"31","Frostpunk","Apr 24, 2018","$29.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","11 bit studios","11 bit studios"
"50","Warhammer: Vermintide 2","Mar 8, 2018","$29.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:00 (00:00)","Fatshark","Fatshark"
"61","Northgard","Mar 7, 2018","$29.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Shiro Games","Shiro Games"
"62","Overcooked! 2","Aug 7, 2018","$12.12","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:00 (00:00)","Ghost Town Games Ltd., Team17","Team17"
"82","The Awesome Adventures of Captain Spirit","Jun 25, 2018","N/A","N/A (N/A/79%)","2,000,000 .. 5,000,000","00:00 (00:00)","DONTNOD Entertainment","Square Enix"
"84","For The King","Apr 19, 2018","$3.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","00:00 (00:00)","IronOak Games","Curve Games"
"98","Insurgency: Sandstorm","Dec 12, 2018","$29.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","00:00 (00:00)","New World Interactive","Focus Entertainment"
"126","NBA 2K19","Sep 10, 2018","N/A","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","Visual Concepts","2K"
"129","Kingdom Come: Deliverance","Feb 13, 2018","$29.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","Warhorse Studios","Warhorse Studios, Prime Matter"
"139","Kenshi","Dec 6, 2018","$11.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:00 (00:00)","Lo-Fi Games","Lo-Fi Games"
"173","Pathfinder: Kingmaker — Enhanced Plus Edition","Sep 25, 2018","$19.99","N/A (N/A/73%)","2,000,000 .. 5,000,000","00:00 (00:00)","Owlcat Games","Knights Peak"
