"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"14","Apex Legends","Nov 4, 2020","Free","N/A (N/A/88%)","50,000,000 .. 100,000,000","00:00 (00:00)","Respawn","Electronic Arts"
"22","Cyberpunk 2077","Dec 9, 2020","$29.99","N/A (N/A/86%)","20,000,000 .. 50,000,000","00:00 (00:00)","CD PROJEKT RED","CD PROJEKT RED"
"74","Fall Guys: Ultimate Knockout","Aug 3, 2020","N/A","N/A (N/A/80%)","20,000,000 .. 50,000,000","00:00 (00:00)","Mediatonic","Ravenscourt"
"1786","Battlefield V","Oct 22, 2020","$7.49","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","DICE","Electronic Arts"
"1788","Phasmophobia","Sep 18, 2020","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Kinetic Games","Kinetic Games"
"2","Hades","Sep 17, 2020","$24.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","00:00 (00:00)","Supergiant Games","Supergiant Games"
"7","Grand Theft Auto IV: The Complete Edition","Mar 24, 2020","$19.99","N/A (N/A/90%)","5,000,000 .. 10,000,000","00:00 (00:00)","Rockstar North, Rockstar Toronto","Rockstar Games"
"8","Factorio","Aug 14, 2020","$35","N/A (N/A/90%)","5,000,000 .. 10,000,000","00:00 (00:00)","Wube Software LTD.","Wube Software LTD."
"15","DOOM Eternal","Mar 19, 2020","$39.99","N/A (N/A/88%)","5,000,000 .. 10,000,000","00:00 (00:00)","id Software","Bethesda Softworks"
"23","Titanfall 2","Jun 18, 2020","$4.49","N/A (N/A/86%)","5,000,000 .. 10,000,000","00:00 (00:00)","Respawn Entertainment","Electronic Arts"
"25","Risk of Rain 2","Aug 11, 2020","$24.99","N/A (N/A/85%)","5,000,000 .. 10,000,000","00:00 (00:00)","Hopoo Games","Gearbox Publishing"
"26","Deep Rock Galactic","May 13, 2020","$9.89","N/A (N/A/85%)","5,000,000 .. 10,000,000","00:00 (00:00)","Ghost Ship Games","Coffee Stain Publishing"
"1782","ULTRAKILL","Sep 3, 2020","$18.74","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Arsi ""Hakita"" Patala","New Blood Interactive"
"1787","Sea of Thieves: 2024 Edition","Jun 3, 2020","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Rare Ltd","Xbox Game Studios"
"1809","Fallout 76","Apr 14, 2020","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Bethesda Game Studios","Bethesda Softworks"
"1","Half-Life: Alyx","Mar 23, 2020","$59.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","00:00 (00:00)","Valve","Valve"
"3","Crusader Kings III","Sep 1, 2020","$14.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","00:00 (00:00)","Paradox Development Studio","Paradox Interactive"
"4","Microsoft Flight Simulator 40th Anniversary Edition","Aug 17, 2020","$29.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","00:00 (00:00)","Asobo Studio","Xbox Game Studios"
"13","Ori and the Will of the Wisps","Mar 10, 2020","$9.89","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:00 (00:00)","Moon Studios GmbH","Xbox Game Studios"
